Note,"Commission regulations permit non-US-based NVOCCs to be licensed or unlicensed (See 46 CFR 515.11, 46 CFR 515.21, also Ocean Transportation Intermediary FAQs available on the Commission website under the FAQ and Notices button). On this listing, unlicensed non-US-based NVOCCs are designated with ** in the License No. field. Licensed non-US-based NVOCCs are included in this list with their license number in the License No. field."
Federal Maritime Commission,
Ocean Transportation Intermediaries (OTI) List,
Org. No.,Lic. No.,Renewal,NAME,Principal Address,Trade Name(s),Street Address 1,Street Address 2,City,State,Zip Code \ Postal Code,Country,Phone,China Bond Rider Effective Date,Latitude,Longitude
008295,002724,4/30/2023 12:00:00 AM,"AIR 7 SEAS TRANSPORT LOGISTICS, INC.","1815 HOURET COURT MILPITAS, CA 95035 UNITED STATES",N/A,1815 HOURET COURT,,MILPITAS,CA,95035,UNITED STATES,(408) 957-8787,,37.4055,-121.8973
021335,021335,5/31/2023 12:00:00 AM,"AIR EAGLE LOGISTICS, INC.","1036 ALPINE COURT CHINO HILLS, CA 91709 UNITED STATES",N/A,1036 ALPINE COURT,,CHINO HILLS,CA,91709,UNITED STATES,(714) 985-0013,,33.96171,-117.782
012720,012720,10/31/2023 12:00:00 AM,AIR MARKET EXPRESS LIMITED,"5840 WEST 85TH PLACE LOS ANGELES, CA 90045-4357 UNITED STATES",AME CONTAINER LINE,5840 WEST 85TH PLACE,,LOS ANGELES,CA,90045-4357,UNITED STATES,(310) 641-7810,,33.96041,-118.3842
025284,025284,4/30/2025 12:00:00 AM,AIR ONE LOGISTICS USA INC,"20705 S. WESTERN AVENUE UNIT 108 TORRANCE, CA 90501 UNITED STATES",N/A,20705 S. WESTERN AVENUE,UNIT 108,TORRANCE,CA,90501,UNITED STATES,(310) 421-1222,,33.82682,-118.3118
008131,008131,1/31/2023 12:00:00 AM,"AIR POWER INTERNATIONAL EXPRESS (U.S.A.), INC","8366 ISIS AVENUE LOS ANGELES, CA 90045 UNITED STATES",N/A,8366 ISIS AVENUE,,LOS ANGELES,CA,90045,UNITED STATES,(310) 641-0830,,33.96291,-118.3753
022178,022178,8/31/2022 12:00:00 AM,"AIR SEA EXPRESS, INC.","315 HARBOR WAY SOUTH SAN FRANCISCO, CA 94080 UNITED STATES",N/A,315 HARBOR WAY,,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES,(650) 871-2883,,37.65382,-122.4347
022336,022336,6/30/2023 12:00:00 AM,"AIR&OCEAN CARGO LOGISTICS, INC.","12612 GREENTREE AVENUE GARDEN GROVE, CA 92840 UNITED STATES",N/A,12612 GREENTREE AVENUE,,GARDEN GROVE,CA,92840,UNITED STATES,(714) 585-0938,,33.78452,-117.9127
016388,016388,8/31/2022 12:00:00 AM,AIRGATE INT'L (SFO) CORP.,"529 DNA WAY SOUTH SAN FRANCISCO, CA 94080 UNITED STATES",N/A,529 DNA WAY,,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES,(650) 583-6868,,37.65323,-122.3883
016162,016162,2/28/2024 12:00:00 AM,"AIRLIFT (U.S.A.), INC.","11099 S. LA CIENEGA BLVD. SUITE 151 LOS ANGELES, CA 90045 UNITED STATES",AIRLIFT CONTAINER LINE,11099 S. LA CIENEGA BLVD.,SUITE 151,LOS ANGELES,CA,90045,UNITED STATES,(310) 256-3066,,33.93471,-118.3702
006323,000903,3/31/2025 12:00:00 AM,"AIR-SEA FORWARDERS, INC.","9009 LA CIENEGA BLVD. INGLEWOOD, CA 90301-4459 UNITED STATES",ASF CONTAINER LINE,9009 LA CIENEGA BLVD.,,INGLEWOOD,CA,90301-4459,UNITED STATES,(310) 216-1616,,33.95448,-118.3706
018977,018977,7/31/2025 12:00:00 AM,ALAS CARGO LLC,"228 STAR OF INDIA LANE CARSON, CA 90746 UNITED STATES",N/A,228 STAR OF INDIA LANE,,CARSON,CA,90746,UNITED STATES,(310) 808-0041,,33.86698,-118.2735
022334,022334,4/30/2023 12:00:00 AM,"ALFA INTERNATIONAL LOGISTICS, INC.","139 MITCHELL AVENUE SUITE 201 SO. SAN FRANCISCO, CA 94080 UNITED STATES",N/A,139 MITCHELL AVENUE,SUITE 201,SO. SAN FRANCISCO,CA,94080,UNITED STATES,(650) 787-6839,,37.64956,-122.4034
027910,027910,10/31/2023 12:00:00 AM,ALFRED JAMORABON,"1806 N. TAFT AVENUE LOS ANGELES, CA 90028 UNITED STATES",ILOCANDIA EXPRESS CARGO,1806 N. TAFT AVENUE,,LOS ANGELES,CA,90028,UNITED STATES,(323) 466-2919,,34.10055,-118.3254
023674,023674,4/30/2025 12:00:00 AM,ALIBABA GLOBAL SHIPPING INC,"1260 57TH AVENUE OAKLAND, CA 94621 UNITED STATES",N/A,1260 57TH AVENUE,,OAKLAND,CA,94621,UNITED STATES,(510) 261-4900,,37.76444,-122.204
016953,016953,3/31/2024 12:00:00 AM,"ALL AMERICA FORWARDING, INC.","15718 S. MANHATTAN PLACE #A GARDENA, CA 90247 UNITED STATES",N/A,15718 S. MANHATTAN PLACE,#A,GARDENA,CA,90247,UNITED STATES,(562) 298-4180,,33.93981,-118.0517
018493,018493,3/31/2025 12:00:00 AM,ALL INTERNATIONAL SOLUTIONS INC.,"841 E. SANDHILL AVENUE CARSON, CA 90746 UNITED STATES",N/A,841 E. SANDHILL AVENUE,,CARSON,CA,90746,UNITED STATES,(310) 352-1100,,33.89308,-118.272
020841,020841,1/31/2024 12:00:00 AM,"ALL LOGISTICS CARGO, INC.","2300-2320 NORTH ALAMEDA STREET COMPTON, CA 90222 UNITED STATES","ACL USA, ALCUSA, TRANSPORTATION SERVICES & LOGISTICS",2300-2320 NORTH ALAMEDA STREET,,COMPTON,CA,90222,UNITED STATES,(310) 609-0144,,33.91304,-118.2219
018606,018606,6/30/2025 12:00:00 AM,"ALL MERIT EXPRESS, INC.","19702 MIGUEL AVENUE CERRITOS, CA 90703 UNITED STATES",N/A,19702 MIGUEL AVENUE,,CERRITOS,CA,90703,UNITED STATES,(562) 833-5620,,33.85115,-118.0698
027034,027034,4/30/2023 12:00:00 AM,"ALL ROUND EXPRESS, INC.","4185 CHARTER STREET VERNON, CA 90058 UNITED STATES","ALL ROUND LOGISTICS, ALL ROUND GROUP",4185 CHARTER STREET,,VERNON,CA,90058,UNITED STATES,(213) 747-0445,,33.99734,-118.2354
022538,022538,8/31/2023 12:00:00 AM,"ALL TRANSPORT WORLDWIDE, CORP.","2824 MAY AVENUE REDONDO BEACH, CA 90278 UNITED STATES",N/A,2824 MAY AVENUE,,REDONDO BEACH,CA,90278,UNITED STATES,(310) 680-2000,,33.87066,-118.3715
021037,021037,7/31/2023 12:00:00 AM,ALL WEST COAST SHIPPING INC.,"1200 WRIGHT AVENUE RICHMOND, CA 94804 UNITED STATES",WEST COAST SHIPPING,1200 WRIGHT AVENUE,,RICHMOND,CA,94804,UNITED STATES,(510) 236-3008,,37.97529,-122.3519
010608,010608,8/31/2022 12:00:00 AM,ALLEGRO INTERNATIONAL SERVICE,"3535 FARQUHAR AVE. LOS ALAMITOS, CA 90720 UNITED STATES",N/A,3535 FARQUHAR AVE.,,LOS ALAMITOS,CA,90720,UNITED STATES,(310) 527-5588,,33.8547,-118.2797
024646,019872,2/28/2025 12:00:00 AM,"ALLEN LUND COMPANY, LLC","4529 ANGELES CREST HIGHWAY SUITE 300 LA CANADA, CA 91011 UNITED STATES",N/A,4529 ANGELES CREST HIGHWAY,SUITE 300,LA CANADA,CA,91011,UNITED STATES,(800) 644-5863,,34.20547,-118.2007
031105,028831,1/31/2023 12:00:00 AM,ALLIANCE GLOBAL LOGISTICS CONSULTING,"17107 KINGSVIEW AVE CARSON, CA 90746 UNITED STATES",N/A,17107 KINGSVIEW AVE,,CARSON,CA,90746,UNITED STATES,(310) 200-0009,,33.85844,-118.2554
029326,029326,6/30/2023 12:00:00 AM,"ALLIANCE GLOBAL LOGISTICS, INC.","690 KNOX STREET 215 TORRANCE, CA 90502 UNITED STATES",N/A,690 KNOX STREET,215,TORRANCE,CA,90502,UNITED STATES,(310) 819-8606,,33.82856,-118.292
026764,026764,4/30/2024 12:00:00 AM,"ALLIANCE INTERNATIONAL LOGISTICS SERVICES, INC.","1815 MONTEREY HWY SAN JOSE, CA 95112 UNITED STATES",N/A,1815 MONTEREY HWY,,SAN JOSE,CA,95112,UNITED STATES,(650) 244-9472,,37.34139,-121.8804
023735,023735,5/31/2023 12:00:00 AM,ALLIANCE LOGISTICS GROUP CORP.,"230 WEST CAROB STREET COMPTON, CA 90220-5208 UNITED STATES",N/A,230 WEST CAROB STREET,,COMPTON,CA,90220-5208,UNITED STATES,(310) 324-2100,,33.86888,-118.3027
007811,003347,7/31/2024 12:00:00 AM,"ALLIANCE SHIPPERS, INC.","180 E. OCEAN BLVD SUITE 100 LONG BEACH, CA 90802 UNITED STATES",ALLIANCE INTERNATIONAL,180 E. OCEAN BLVD,SUITE 100,LONG BEACH,CA,90802,UNITED STATES,(562) 240-2200,11/23/2012 12:00:00 AM,33.75488,-118.1072
025554,025554,4/30/2024 12:00:00 AM,"ALLIED CARGO SERVICES, INC.","26203 PRODUCTION AVENUE SUITE 2 HAYWARD, CA 94545 UNITED STATES",N/A,26203 PRODUCTION AVENUE,SUITE 2,HAYWARD,CA,94545,UNITED STATES,(510) 782-6878,,37.63324,-122.0971
017691,017691,1/31/2025 12:00:00 AM,"ALLISON SHIPPING INTERNATIONAL, INC.","340 GOLDEN SHORE SUITE 200 LONG BEACH, CA 90802 UNITED STATES",N/A,340 GOLDEN SHORE,SUITE 200,LONG BEACH,CA,90802,UNITED STATES,(562) 435-7200,,33.76398,-118.1992
021703,021703,3/31/2025 12:00:00 AM,"ALLSTATE INT'L FREIGHT USA, INC.","1250 WEST ARTESIA BLVD. COMPTON, CA 90220 UNITED STATES",A.I.F. COMPANY,1250 WEST ARTESIA BLVD.,,COMPTON,CA,90220,UNITED STATES,(310) 323-0700,,33.87462,-118.2755
023655,023655,5/31/2024 12:00:00 AM,"ALLTRANSPORT INTERNATIONAL LOGISTICS, INC","63 65TH PLACE LONG BEACH, CA 90803 UNITED STATES",N/A,63 65TH PLACE,,LONG BEACH,CA,90803,UNITED STATES,5622084200,,33.74817,-118.1208
030345,030345,5/31/2024 12:00:00 AM,ALLY NETWORK INC,"1820 E LOCUST STREET ONTARIO, CA 91761 UNITED STATES",N/A,1820 E LOCUST STREET,,ONTARIO,CA,91761,UNITED STATES,(909) 966-5899,,34.03165,-117.6187
031032,031032,3/30/2025 12:00:00 AM,"ALMEGA, INC.","1050 WEST LAKES DRIVE SUITE #225 WEST COVINA, CA 91790 UNITED STATES",N/A,1050 WEST LAKES DRIVE,SUITE #225,WEST COVINA,CA,91790,UNITED STATES,(626) 588-7178,,34.06734,-117.9366
024447,024447,7/31/2024 12:00:00 AM,ALPHA TOTAL SOLUTIONS INC.,"18747 S. LAUREL PARK ROAD RANCHO DOMINGUEZ, CA 90220 UNITED STATES",TT LOGISTICS,18747 S. LAUREL PARK ROAD,,RANCHO DOMINGUEZ,CA,90220,UNITED STATES,(310) 848-1300,,33.86154,-118.2205
008556,003736,6/30/2023 12:00:00 AM,ALPINE EXPRESS CORPORATION,"750 S. GLASGOW AVENUE 2ND FLOOR INGLEWOOD, CA 90301 UNITED STATES",N/A,750 S. GLASGOW AVENUE,2ND FLOOR,INGLEWOOD,CA,90301,UNITED STATES,(310) 645-6688,,33.95354,-118.3718
021873,021873,3/31/2025 12:00:00 AM,"ALPS LOGISTICS (USA), INC.","2150 195TH STREET TORRANCE, CA 90501 UNITED STATES",N/A,2150 195TH STREET,,TORRANCE,CA,90501,UNITED STATES,(310) 618-1220,,33.82705,-118.311
020731,020731,1/31/2023 12:00:00 AM,"ALTO CONTAINER LINE, INC.","2867 SURVEYOR STREET POMONA, CA 91768 UNITED STATES",N/A,2867 SURVEYOR STREET,,POMONA,CA,91768,UNITED STATES,(909) 468-5500,6/17/2011 12:00:00 AM,34.05495,-117.8051
023495,023495,5/31/2025 12:00:00 AM,AMADA SHIPPING INC.,"17890 CASTLETON STREET SUITE 104 CITY OF INDUSTRY, CA 91748 UNITED STATES",N/A,17890 CASTLETON STREET,SUITE 104,CITY OF INDUSTRY,CA,91748,UNITED STATES,626 965 1515,11/23/2012 12:00:00 AM,33.99252,-117.9128
028730,028730,10/31/2023 12:00:00 AM,AMASS GLOBAL NETWORK (US) INC.,"13191 CROSSROADS PARKWAY NORTH SUITE 255 CITY OF INDUSTRY, CA 91746 UNITED STATES",N/A,13191 CROSSROADS PARKWAY NORTH,SUITE 255,CITY OF INDUSTRY,CA,91746,UNITED STATES,(562) 222-7755,,34.05096,-117.98
