,SCAC,consignee
45,ADXH,EXPEDITORS INT'L OF WASHINGTON INC.
46,ADXH,UPS OCEAN FREIGHT SERVICES INC.
47,ADXH,TOPOCEAN CONSOLIDATION SERVICE (LAX
48,ADXH,PAN PACIFIC EXPRESS CORPORATION
49,ADXH,MOTHERLINES INC.
50,ADXH,LF LOGISTICS USA LLC
51,ADXH,POLARIS INDUSTRIES
52,ADXH,EXPEDITORS INTERNATIONAL OF WASHING
53,ADXH,APEX LOGISTICS INTERNATIONAL INC.
54,ADXH,SCHENKER INC-GLOBAL SERVICE CENTER
55,ADXH,AMERICAN GLOBAL LOGISTICS
56,ADXH,YAMAHA MOTOR CORP
57,ADXH,DOLLAR GENERAL CORPORATION
58,ADXH,"CENTRANS MARINE SHIPPING, INC."
59,ADXH,EFL CONTAINER LINES LLC
60,ADXH,"KUEHNE + NAGEL,INC."
61,ADXH,"INTERLOG USA, INC."
62,ADXH,"TRANS WAGON INTL (USA) CO., LTD."
63,ADXH,SUPERIOR BROKERAGE SERVICES INC
64,ADXH,CONDOR CUSTOMS BROKERS LLLP
65,ADXH,"OFFICE DEPOT,LLC."
66,ADXH,VECTOR GLOBAL LOGISTICS
67,ADXH,JDY INTERNATIONAL INC
68,ADXH,CU LOGISTICS INC.
69,ADXH,BINEX LINE CORP. - HQ(IMPORT)
70,ADXH,SAMSUNG ELECTRONICS AMERICA INCORPO
71,ADXH,NORTH POLE STAR  S.DE R.L. DE C.V
72,ADXH,NORTH POLE STAR  S.DE R.L. DE C.V.
73,ADXH,UNKNOWN
74,ADXH,POLARIS INDUSTRIES  INC. C O
75,ADXH,"CURRENT LIGHTING SOLUTIONS, LLC"
76,ADXH,SUPERIOR BROKERAGE SERVICES INC.
77,ADXH,FD SALES COMPANY LLC
78,ADXH,SANITIZED
79,ADXH,"WILLIAMS-SONOMA SINGAPORE, PTE LTD"
80,SGAT,"SHINE SHIPPING, INC"
81,SGAT,DIRECT SERVICE INC.
82,SGAT,UNION LOGISTICS INC
83,SGAT,"HECNY TRANSPORTATION,INC."
84,SGAT,APEX SHIPPING CO. (NYC)  INC.
85,SGAT,Y5 SOLUTIONS INC.
86,SGAT,OEC FREIGHT (NY) INC.
87,SGAT,BASS SALES INC.
88,SGAT,DE WELL CONTAINER SHIPPING INC.
89,SGAT,FREIGHT DIRECT LLC
90,SGAT,BRASS SALES INC.
91,SGAT,LF LOGISTICS USA LLC
92,SGAT,SHINE SHIPPING  INC
93,SGAT,DIRECT SERVICE INC
94,MHBQ,EXPEDITORS INTERNATIONAL OF
95,MHBQ,EXPEDITORS INT'L OF WASHINGTON INC.
96,MHBQ,BRIDGESTONE/FIRESTONE INC.
97,MHBQ,"AM GLOBAL SHIPPING CO., LTD."
98,MHBQ,INTCO MEDICAL INDUSTRIAL INC.
99,MHBQ,EXPEDITORS INTL OF WA INC.
100,MHBQ,JD LOGITSTICS UNITED STATES COMPANY
101,MHBQ,BRIDGESTONE AMERICAS TIRE OPERATION
102,MHBQ,FLORA BUNDA INC.
103,KTEV,SEKO WORLDWIDE LLC
104,KTEV,INTERCORP - DIVISION OF U.S. NITTO
105,KTEV,"AM GLOBAL SHIPPING CO., LTD."
106,KTEV,O.E.C. SHIPPING LOS ANGELES INC.
107,KTEV,LE INTERNATIONAL INC
108,KTEV,FOUR SEASON LOGISTICS CORPORATION
109,KTEV,KINTETSU WORLD EXPRESS USA INC.
110,KTEV,CTT TOOLS  INC
111,KTEV,"DE WELL CONTAINER SHIPPING, INC."
112,KTEV,NEW MARINE CONSOLIDATOR INC
113,KTEV,INTERCORP CORPORATION U.S.A
114,KTEV,CTT TOOLS  INC.
115,KTEV,E CARGO INC.
116,KTEV,LEES POTTERY INC
117,KTEV,APEX MARITIME CO. (LAX) INC.
118,KTEV,EM-LINES LIMITED
119,KTEV,U.S. NITTO (INC).(DBA INTERCORP)
120,KTEV,TRI-UNION SEAFOODS LLC
121,KTEV,TANERA TRANSPORT LLC
122,KTEV,GRABBER CONSTRUCTION PRODUCTS  INC.
123,KTEV,CIMC INTERMODAL EQUIPMENT
124,KTEV,UNKNOWN
125,KTEV,MSL SHIPPING LINES INC
126,KTEV,MOMENTUM LOGISTICS CORP.
127,KTEV,OEC SHIPPING LOS ANGELES INC
128,PSED,HECNY TRANSPORTATION INC - LAX
129,PSED,DHL GLOBAL FORWARDING
130,PSED,MASTERPIECE INTERNATIONAL LTD.
131,PSED,KUEHNE + NAGEL INCORPORATED
132,PSED,TOPOCEAN CONSOLIDATION SERVICE (LOS
133,PSED,TOPOCEAN CONSOLIDATION SERVICE (LAX
134,PSED,C.H. ROBINSON INTERNATIONAL INC
135,PSED,EXPRESS LINE (U.S.A.) INC.
136,PSED,TOPOCEAN CONSOLIDATION SERVICES INC
137,PSED,BERLIN PACKAGING LLC
138,PSED,KING FREIGHT ( U.S.A. ) INC.
139,PSED,MASTERPIECE INTERNATIONAL LIMITED
140,PSED,"POMPEIAN, INC"
141,PSED,"APEX MARITIME CO., (ORD) INC"
142,PSED,"HECNY TRANSPORTATION, INC."
143,PSED,FAMOUS TARGET CORP
144,PSED,MULTIVAC REPRESENTATIVE
145,PSED,UNKNOWN
146,PSED,"C & L GLOBAL, INC."
147,PSED,YES LOGISTICS CORPORATION
148,MXDP,"TRADE EXPEDITORS USA, INC"
149,MXDP,INTERGLOBO USA INC.
150,MXDP,DEL CORONA & SCARDIGLI USA
151,MXDP,"FD SALES COMPANY, LLC"
152,MXDP,"FD SALES COMPANY, LLC."
153,MXDP,TOPOCEAN CONSOLIDATION SERVICE (LAX
154,MXDP,EMSER TILE LLC
155,MXDP,UNISTAR LOGISTICS INC.
156,MXDP,OEC FREIGHT (NY) INC.
157,MXDP,GREAT LUCK INC.
158,MXDP,GLOBAL LOGISTICAL CONNECTIONS INC
159,MXDP,O.E.C. SHIPPING LOS ANGELES INC.
160,MXDP,"TRANS WAGON INTL (USA) CO., LTD."
161,MXDP,FD SALES COMPANY LLC
162,MXDP,SANITIZED
163,AQEG,IMMORTAL SERVICE INC.
164,AQEG,"AFFINITY SHIPPING (USA), INC."
165,AQEG,NEPTUNE SHIPPING LIMITED
166,AQEG,CIL FREIGHT INC
167,AQEG,GEODIS USA LLC
168,AQEG,"TRANSLINK SHIPPING, INC."
169,AQEG,O.E.C. SHIPPING LOS ANGELES INC
170,AQEG,EXPEDITORS INT'L OF WASHINGTON INC.
171,AQEG,"O.E.C. FREIGHT COMPANIES, INC."
172,AQEG,SAMUEL SHAPIRO  CO.  INC.
173,AQEG,AIR TIGER EXPRESS (USA) INC.
174,AQEG,INTERGLOBO NORTH AMERICA INC.
175,AQEG,HUA FENG (USA) LOGISTICS INC.
176,AQEG,NINE DRAGON GLOBAL LOGISTICS CORP.
177,AQEG,AIR TIGER EXPRESS (USA) INC-LOS
178,AQEG,FEDEX TRADE NETWORKS TRANSPORT
179,AQEG,C.H. ROBINSON INTERNATIONAL INC.
180,AQEG,FLEXPORT INTERNATIONAL LLC
181,AQEG,UNKNOWN
182,AQEG,BRIDGESTONE AMERICAS TIRE OPER LCC
