,SCAC,consignee
545,XPOK,UNKNOWN
546,XPOK,"LG SOURCING, INC."
547,XPOK,SANITIZED
548,FDIH,EMOTRANS CUSTOMIZED GLOBAL LOGISTIC
549,FDIH,"JTL LOGISTICS USA, INC."
550,FDIH,"APEX MARITIME CO, INC."
551,FDIH,NINE DRAGON GLOBAL LOGISTICS CORP.
552,FDIH,"NEW MARINE CONSOLIDATOR, INC"
553,FDIH,AMERICAN LAMPRECHT TRANSPORT
554,FDIH,"ARIES GLOBAL LOGISTICS, INC"
555,FDIH,"APEX MARITIME CO. (LAX), INC."
556,FDIH,SEA TRADE INTERNATIONAL INCORPORATE
557,FDIH,EM- LINES LIMITED
558,TIYI,DHY SHIPPING LINE INC
559,TIYI,SPEED SAIL GROUP INC
560,TIYI,ROUND-THE-WORLD LOGISTICS (U.S.A.)
561,TIYI,NEPTUNE SHIPPING LIMITED
562,TIYI,"AM GLOBAL SHIPPING CO., LTD."
563,TIYI,TRANSLINK SHIPPING INC. - LOS
564,TIYI,SEA TRADE INTERNATIONAL INCORPORATE
565,TIYI,"TRANSLINK SHIPPING, INC."
566,TIYI,PAN PACIFIC EXPRESS CORP.
567,TIYI,KINGS INTERNATIONAL GROUP INC.
568,TIYI,"AIR TIGER EXPRESS (USA), INC."
569,TIYI,"ADVANCE CONTAINER LINE, INC."
570,TIYI,"CITY OCEAN INTERNATIONAL INC., (LOS"
571,TIYI,NZXT INC.
572,TIYI,"TRANS WAGON INT'L (USA) CO., LTD."
573,TIYI,DHY SHIPPING LINE INC.
574,TIYI,CSPC HEALTHCARE INC
575,TIYI,UNIPAC SHIPPING INC. (LAX)
576,TIYI,ORBO CORPORATION COMPANY
577,TIYI,ROUND-THE-WORLD LOGISTICS (U S A )
578,TIYI,US PACIFIC TRANSPORT INC (NYC)
579,TIYI,EVER-LEADING INTERNATIONAL INCORPOR
580,TIYI,LF LOGISTICS USA LLC
581,TIYI,APEX MARITIME CO. (LAX)  INC.
582,TIYI,GAN INC
583,TIYI,JENSON LOGISTICS INC.
584,TIYI,E CARGO INC.
585,TIYI,BVL GROUP (USA) INC.
586,TIYI,UNIQUE LOGISTICS INTERNATIONAL (NYC
587,TIYI,WALMAY LOGISTICS INC.
588,TIYI,SINO UNITED LINK CORPORATION
589,TIYI,DOLPHIN INTERNATIONAL TRANSPORTATIO
590,TIYI,OFFICE MASTER INC.
591,TIYI,TRANS WAGON INT'L USA
592,TIYI,APEX MARITIME CO. (LAX) INC.
593,TIYI,GAN FULFILLMENT INC
594,TIYI,"ADVANCE CONTAINER LINE, INC"
595,TIYI,PRIMESPEED LOGISTICS INC
596,TIYI,GREEN FINE INC
597,TIYI,WTO EXPRESS (USA) CORP
598,TIYI,INDIVIDUAL FOODSERVICE
599,TIYI,QUARTZ LOGISTICS INC.
600,TIYI,"WIL CAN (USA) GROUP, INC"
601,TIYI,SEA SKY GLOBAL LOGISTICS INC
602,TIYI,TRANS WAGON INTL(USA) CO. LTD.
603,TIYI,"TRANS WAGON INTL (USA) CO., LTD."
604,TIYI,"HECNY TRANSPORTATION, INC."
605,TIYI,"CITY OCEAN INTERNATIONAL INC.,"
606,TIYI,"UNIPAC SHIPPING, INC."
607,TIYI,TANERA TRANSPORT LLC
608,TIYI,COFINDEAM INC
609,TIYI,VF WORLDCARGO LLC
610,TIYI,WECAN INTERNATIONAL LOGISTICS (USA)
611,TIYI,RDD FREIGHT INT'L(LAX) INC
612,TIYI,ORIGIN 3 PERFORMANCE
613,TIYI,SCANWELL LOGISTICS (LAX) INC.
614,TIYI,OEC SHIPPING LOS ANGELES INC
615,TIYI,JD LOGITSTICS UNITED STATES COMPANY
616,TIYI,TD LOGISTICS INC.
617,TIYI,SANITIZED
618,TIYI,UNIPAC SHIPPING INC  (LAX)
619,ETSE,"PRIMARY FREIGHT SERVICES, INC."
620,ETSE,ELECTROLUX PROFESSIONAL LLC
621,ETSE,HUA FENG (USA) LOGISTICS INC
622,ETSE,"YARA NORTH AMERICA, INC"
623,ETSE,APEX CARGO INTERNATIONAL (DFW) INC.
624,ETSE,L POWELL ACQUISITION CORP
625,ETSE,TOPOCEAN CONSOLIDATION SERVICE (LAX
626,ETSE,UNKNOWN
627,ETSE,MOHAWK GLOBAL LOGISTICS-SYRACUSE
628,ETSE,PRIMARY FREIGHT SERVICES INC
629,ETSE,LIFETIME BRANDS INC.
630,ETSE,O.E.C. SHIPPING LOS ANGELES INC.
631,ETSE,SANITIZED
632,CJXE,FUNAI CORPORATION  INC.
633,CJXE,YUSEN LOGISTICS (AMERICAS) INC
634,CJXE,SHIPCO TRANSPORT INC.
635,CJXE,PAN PACIFIC EXPRESS CORP.
636,CJXE,BA-SHI YUEXIN LOGISTICS
637,CJXE,ALLIANCE INTERNATIONAL
638,CJXE,EXPEDITORS INT'L OF WASHINGTON INC.
639,CJXE,YES LOGISTICS CORP
640,CJXE,Expeditors Intl of WA Inc
641,CJXE,EXPEDITORS INTERNATIONAL OF WASHING
642,CJXE,EXPEDITORS INTL OF WA INC
643,CJXE,EXPEDITORS INTERNATIONAL OF
644,CJXE,KUEHNE+NAGEL INC (TORRANCE)
645,CJXE,CANON U.S.A. INCORPORATED
646,CJXE,"FUNAI CORPORATION, INC."
647,CJXE,BA-SHI YUEXIN LOGISTICS DEVELOPMENT
648,CJXE,YUSEN LOGISTICS AMERICAS INC.
649,CJXE,UNKNOWN
650,CJXE,SANITIZED
651,PNDH,IMMORTAL SERVICE INC.
652,PNDH,"DE WELL CONTAINER SHIPPING, INC."
653,PNDH,"TRANSCON SHIPPING CO., INC-CHICAGO,"
654,PNDH,"TRANSCON SHIPPING CO., INC-"
655,PNDH,"TRANSCON SHIPPING CO., INC"
656,PNDH,"AMS PRODUCTS, INC"
657,PNDH,"JZ INTERNATIONAL, INC."
658,FTJO,"CITY OCEAN INTERNATIONAL INC., (LOS"
659,TILG,SUNPOWER CORPORATION  SYSTEMS
660,DLMT,DHL GLOBAL FORWARDING
661,DLMT,"HECNY TRANSPORTATION,INC."
662,DLMT,"APEX MARITIME CO, INC."
663,DLMT,EVEREST SYSTEMS CO.
664,DLMT,HECNY TRANSPORTATION INC.
665,MZSS,MTS LOGISTICS  INC.
666,MZSS,CIMC INTERMODAL EQUIPMENT
667,MZSS,UNKNOWN
668,MZSS,SOUTHERN GLAZERS W & S - S CA
669,MZSS,"MTS LOGISTICS,INC"
670,MZSS,"MTS LOGISTICS, INC."
671,MZSS,"UNION LOGISTICS, INC."
672,MZSS,MTS LOGISTICS INC
673,EFTT,FR. MEYER'S SOHN NORTH AMERICA LLC
674,EFTT,EXPEDITORS INTERNATIONAL OF
675,EFTT,APERAM STAINLESS SERVICES & SOLUTIO
676,EFTT,"STEAM LOGISTICS, LLC"
677,EFTT,EZ LOGISTICS LLC
678,ZHTP,OEC FREIGHT (NY) INC.
679,ZHTP,CTS GLOBAL SUPPLY CHAIN SOLUTIONS
680,ZHTP,C.H. ROBINSON INTERNATIONAL INC. (C
681,ZHTP,RI-TIME LOGISTICS CORP.
682,ZHTP,"TRANSLINK SHIPPING, INC."
683,ZHTP,CEVA FREIGHT LLC
684,ZHTP,OEC GROUP CHICAGO
685,ZHTP,CEVA FREIGHT LLC AS AGENT FOR
686,ZHTP,CEVA FREIGHT LLC AS AGENT FOR AND
687,ZHTP,"CEVA FREIGHT, LLC"
688,ZHTP,C.H. ROBINSON INTERNATIONAL INC
689,ZHTP,WHEEL PROS INCORPORATED
690,ZHTP,STAR ASIA INTERNATIONAL INC.
691,ZHTP,"ROHLIG USA, LLC"
692,ZHTP,"C. H. ROBINSON INTERNATIONAL, INC."
693,ZHTP,CEVA FREIGHT LLC AS AGENTS FOR AND
694,ZHTP,C.H. ROBINSON INTERNATIONAL INC.
695,ZHTP,KEEFE GROUP
696,ZHTP,"C.H. ROBINSON INTERNATIONAL, INC."
697,ZHTP,UNKNOWN
698,ZHTP,CEVA FREIGHT LLC AS AGENTS FOR
699,ZHTP,"EXPRESS, LLC."
700,ZHTP,ORIENTAL AIR TRANSPORT SERVICE INC.
701,TMYK,MOMOKO INTERNATIONAL INC
702,TMYK,SEA TRADE INTERNATIONAL INCORPORATE
703,TMYK,PLASTIC TRIM INTERNATIONAL INC.
704,TMYK,UNKNOWN
705,TMYK,"MINTH TENNESSEE INTERNATIONAL, LLC"
706,TMYK,ENVISION PERIPHERALS INCORPORATED
707,TMYK,SOUTH EAST WORLD WIDE LTD.
708,TMYK,AFFINITY SHIPPING (USA)  INC.
709,TMYK,COSCO SHIPPING LOGISTICS (NORTH AME
710,WTIK,NEPTUNE SHIPPING LIMITED
711,WTIK,GC LOGISTICS  INC.
