Ocean Transportation Intermediaries (OTI) List,
Federal Maritime Commission,
Org. No.,Lic. No.,Renewal,Name,Principal Address,Trade Name(s),Street Address 1,Street Address 2,City,State,Zip Code \ Postal Code,Country,Phone,Latitude,Longitude
028730,028730,10/31/2023 12:00:00 AM,AMASS GLOBAL NETWORK (US) INC.,"13191 CROSSROADS PARKWAY NORTH SUITE 255 CITY OF INDUSTRY, CA 91746 UNITED STATES",N/A,13191 CROSSROADS PARKWAY NORTH,SUITE 255,CITY OF INDUSTRY,CA,91746,UNITED STATES,(562) 222-7755,34.05096,-117.98
020395,020395,5/31/2025 12:00:00 AM,AMAX CORPORATION,"218 WEST GARVEY AVENUE SUITE I MONTEREY PARK, CA 91754 UNITED STATES",AMAX GLOBAL LOGISTICS,218 WEST GARVEY AVENUE,SUITE I,MONTEREY PARK,CA,91754,UNITED STATES,(626) 288-8138,34.06239,-118.1248
027984,003966,6/30/2024 12:00:00 AM,AMERASA TRANSPORT CORPORATION,"2520 STANWELL DRIVE SUITE 130 CONCORD, CA 94520 UNITED STATES",N/A,2520 STANWELL DRIVE,SUITE 130,CONCORD,CA,94520,UNITED STATES,(925) 602-1280,37.98226,-122.0362
018477,018477,7/31/2025 12:00:00 AM,"AMERASIA LINE, INC.","3625 DEL AMO BLVD. SUITE 275 TORRANCE, CA 90503 UNITED STATES",N/A,3625 DEL AMO BLVD.,SUITE 275,TORRANCE,CA,90503,UNITED STATES,(310) 370-0161,33.83971,-118.3542
027707,027707,7/31/2025 12:00:00 AM,AMERICAN CARGO INC.,"8641 JENNRICH AVENUE WESTMINSTER, CA 92683 UNITED STATES",N/A,8641 JENNRICH AVENUE,,WESTMINSTER,CA,92683,UNITED STATES,(626) 322-8941,33.75275,-117.9913
024455,024455,5/31/2024 12:00:00 AM,"AMERICAN CARGOCARE, INC.","1558 S. ANAHEIM BLVD SUITE E ANAHEIM, CA 92805 UNITED STATES",N/A,1558 S. ANAHEIM BLVD,SUITE E,ANAHEIM,CA,92805,UNITED STATES,(310) 844-7869,33.87537,-118.0822
022862,022862,2/28/2024 12:00:00 AM,"AMERICAN CARGOSERVICE, INC.","7886 CONVOY COURT SAN DIEGO, CA 92111 UNITED STATES",N/A,7886 CONVOY COURT,,SAN DIEGO,CA,92111,UNITED STATES,(858) 565-4125,32.83475,-117.1507
021929,021929,9/30/2023 12:00:00 AM,"AMERICAN ROYAL INTERNATIONAL, INC.","1021 WASHINGTON STREET SAN CARLOS, CA 94070 UNITED STATES",N/A,1021 WASHINGTON STREET,,SAN CARLOS,CA,94070,UNITED STATES,(650) 685-7330,37.49767,-122.2458
030324,030324,4/30/2023 12:00:00 AM,AMGUSA INC.,"4246 BEULAH DR LA CANADA FLINTRIDGE, CA 91011 UNITED STATES",N/A,4246 BEULAH DR,,LA CANADA FLINTRIDGE,CA,91011,UNITED STATES,(818) 640-1575,34.20928,-118.199
017910,017910,10/31/2023 12:00:00 AM,ANNEX GLOBAL LOGISTICS INC.,"18300 SOUTH WILMINGTON AVENUE SUITE 150 RANCHO DOMINGUEZ, CA 90220 UNITED STATES",N/A,18300 SOUTH WILMINGTON AVENUE,SUITE 150,RANCHO DOMINGUEZ,CA,90220,UNITED STATES,(310) 670-2328,33.86546,-118.2347
028268,028268,8/31/2024 12:00:00 AM,"ANX SHIPPING, LLC","223 W. ROSECRANS AVENUE GARDENA, CA 90248 UNITED STATES",N/A,223 W. ROSECRANS AVENUE,,GARDENA,CA,90248,UNITED STATES,(310) 341-6857,33.87451,-118.2893
021175,021175,5/31/2025 12:00:00 AM,APAC LOGISTIC TRANSPORTATION INC.,"840 HINCKLEY ROAD SUITE 138 BURLINGAME, CA 94010 UNITED STATES",N/A,840 HINCKLEY ROAD,SUITE 138,BURLINGAME,CA,94010,UNITED STATES,6506921899,37.59846,-122.3689
